cnty_fips,County,State,Value,theme_range
36035,Fulton,NY,202.2,190.4 - 220.8 (640)
36037,Genesee,NY,172.8,169.5 - 190.3 (639)
36039,Greene,NY,187.7,169.5 - 190.3 (639)
36041,Hamilton,NY,179.4,169.5 - 190.3 (639)
36043,Herkimer,NY,198.8,190.4 - 220.8 (640)
36045,Jefferson,NY,198.8,190.4 - 220.8 (640)
36047,Kings,NY,197.2,190.4 - 220.8 (640)
36049,Lewis,NY,184.8,169.5 - 190.3 (639)
36051,Livingston,NY,147.3,147 - 169.4 (640)
36053,Madison,NY,159.3,147 - 169.4 (640)
36055,Monroe,NY,149.7,147 - 169.4 (640)
36057,Montgomery,NY,225.1,220.9 - 568.7 (640)
